false_gods,true_gods,random_gods,expected_questions,status,independent_replications,notes,version,reproduce_command
2,6,2,10.650000,upper_bound,5,,0.16.21,./hardest -f 2 -t 6 -r 2 -b 3 -i 999 -a 1.002 -e 1.001 -S 8 -H 1 -l 1.01 -s 18028971935797691478 -i 0 -u 10.65 -M 1
3,5,2,11.653175,upper_bound,0,,0.16.21,./hardest -f 3 -t 5 -r 2 -b 2 -i 999 -a 1.00002 -e 1.00001 -S 7 -H 1 -l 1.01 -s 4386518397206986393 -i 0 -u 11.654364999999999 -M 1
4,4,2,11.978095,upper_bound,1,,0.16.21,./hardest -f 4 -t 4 -r 2 -b 2 -i 9999 -a 1.000002 -e 1.000001 -S 7 -H 1 -l 1.01 -s 2151721692253075810 -i 0 -u 11.978095 -M 1
0,7,3,7.425000,likely,10,,0.16.21,./hardest -f 0 -t 7 -r 3 -b 2 -i 9999 -a 1.01 -e 1.006 -S 8 -l 1.01 -s 621316211043537596 -i 0 -u 7.4249999999999998 -M 1
1,6,3,10.297024,upper_bound,0,,0.17.11,./hardest -f 1 -t 6 -r 3 -b 9 -i 9999 -a 1.0015 -e 1.00143 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 14574204646184991116 -i 0 -u 10.298809999999998 -M 1 -a 1.0014999999999998 -e 1.0014299999999998
2,5,3,12.000694,upper_bound,0,,0.17.11,./hardest -f 2 -t 5 -r 3 -b 5 -i 999 -a 1.00086 -e 1.00081 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 2057244056512433272 -i 0 -u 12.000992 -M 1 -a 1.0008599999999999 -e 1.00081
3,4,3,12.698095,upper_bound,0,,0.16.21,./hardest -f 3 -t 4 -r 3 -b 4 -i 99 -a 1.009 -e 1.0019 -S 7 -H 0 -l 1.01 -s 12835158493251781975 -i 0 -u 12.698928999999998 -M 1
0,6,4,8.939583,upper_bound,0,,0.17.11,./hardest -f 0 -t 6 -r 4 -b 6 -i 999 -a 1.00253 -e 1.0025 -K 1960 -S 8 -z -99 -U 4 -l 1.01 -s 13580369673490313420 -i 0 -u 8.9412199999999977 -M 1 -a 1.0025299999999999 -e 1.0024999999999999
1,5,4,11.646063,upper_bound,0,,0.15.5,./hardest -f 1 -t 5 -r 4 -b 2 -B 0:2 -H 1 -S 7 -a 1.02 -e 1.01 -u 11.5256 -i 6 -k 11 -l 1.01 -s 4268585735434295512 -i 0
2,4,4,13.025176,upper_bound,0,,0.15.5,./hardest -f 2 -t 4 -r 4 -b 2 -B 0:2 -H 1 -S 7 -a 1.02 -e 1.01 -u 13.031 -i 1 -k 11 -l 1.01 -s 8104028515989855274 -i 0
3,3,4,13.415005,upper_bound,0,,0.16.21,./hardest -f 3 -t 3 -r 4 -b 1 -i 299 -a 1.009 -e 1.0029 -S 7 -H 0 -l 1.01 -s 10909784471793910820 -i 0 -u 13.419219999999999 -M 1
0,10,1,3.636364,optimal,0,,,
1,9,1,6.927273,optimal,0,,,
2,8,1,9.056566,optimal,0,,,
3,7,1,10.539394,optimal,0,,,
4,6,1,11.317749,optimal,0,,,
5,5,1,11.613276,optimal,0,,,
0,9,2,6.054545,conjectured,1420,,0.16.21,./hardest -f 0 -t 9 -r 2 -b 8 -i 2999 -a 1.01 -e 1.004 -S 7 -l 1.01 -s 1774678060 -i 0 -u 6.0545449999999992 -M 1
1,8,2,9.187879,upper_bound,0,,0.17.9,./hardest -f 1 -t 8 -r 2 -b 9 -i 99999 -a 1.00303 -e 1.00293 -Y 0.0004 -X 1.004 -K 1001 -S 7 -l 1.01 -s 15772704819758585483 -i 0 -u 9.1898990000000005 -M 1 -a 1.0030299999999999 -e 1.0029299999999999
2,7,2,11.207576,upper_bound,0,,0.17.9,./hardest -f 2 -t 7 -r 2 -b 69 -i 19999 -a 1.00215 -e 1.00205 -Y 0.0005 -K 1001 -S 8 -l 1.01 -s 2121269677951726058 -i 0 -u 11.209342999999999 -M 1 -a 1.0021500000000001 -e 1.0020500000000001
3,6,2,12.474675,upper_bound,1,,0.17.9,./hardest -f 3 -t 6 -r 2 -b 19 -i 9999 -a 1.0005 -e 1.0002 -K 1001 -S 8 -l 1.01 -s 9624507988301196679 -i 0 -u 12.474675 -M 1 -a 1.0004999999999999 -e 1.0002
4,5,2,13.049351,upper_bound,0,,0.17.9,./hardest -f 4 -t 5 -r 2 -b 15 -i 999 -a 1.001 -e 1.0001 -K 1111 -S 8 -l 1.01 -s 6471857269936880482 -i 0 -u 13.049495 -M 1 -a 1.0009999999999999 -e 1.0001
0,8,3,7.927273,upper_bound,9,,0.17.9,./hardest -f 0 -t 8 -r 3 -b 14 -i 999 -a 1.002 -e 1.0006 -K 1001 -S 7 -l 1.01 -s 5910578706979231053 -i 0 -u 7.9272730000000005 -M 1 -a 1.002 -e 1.0005999999999999
1,7,3,10.974811,upper_bound,0,,0.17.9,./hardest -f 1 -t 7 -r 3 -b 11 -i 999 -a 1.001 -e 1.0007 -K 1001 -S 8 -l 1.01 -s 18182632448452241471 -i 0 -u 10.975000000000001 -M 1 -a 1.0009999999999999 -e 1.0006999999999999
2,6,3,12.769372,upper_bound,0,,0.17.9,./hardest -f 2 -t 6 -r 3 -b 9 -i 399 -a 1.0011 -e 1.001 -K 1001 -S 8 -l 1.01 -s 13347266896371166690 -i 0 -u 12.769912999999999 -M 1 -a 1.0010999999999999 -e 1.0009999999999999
3,5,3,13.772944,upper_bound,0,,0.17.9,./hardest -f 3 -t 5 -r 3 -b 5 -i 999 -a 1.0012 -e 1.00115 -K 1001 -S 8 -z 2.276 -l 1.01 -s 17876984686559304356 -i 0 -u 13.773267999999998 -M 1 -a 1.0011999999999999 -e 1.00115
4,4,3,14.080844,upper_bound,0,,0.17.9,./hardest -f 4 -t 4 -r 3 -b 0 -i 99 -a 1.0016 -e 1.0011 -K 960 -S 8 -l 1.01 -s 8994152883107200964 -i 0 -u 14.081666999999999 -M 1 -a 1.0015999999999998 -e 1.0010999999999999
0,7,4,9.292424,upper_bound,0,,0.15.5,./hardest -f 0 -t 7 -r 4 -b 1 -B 0:2 -H 1 -S 7 -a 1.02 -e 1.01 -u 9.214 -i 5000 -k 11 -l 1.01 -s 14022505586819668448 -i 0
